KEY,en,notes,sp,fr,de,it,pt-br
KEYWORD_DEHYDRATED_NAME,Тепловая волна,,Ola de calor,Vague de chaleur,Hitzewelle,Ondata di calore,Onda de Calor
KEYWORD_DEHYDRATED_DESC,Исцеление снижено на 1. Не лечит после боя. Можно нейтрализовать водой.,,Las curaciones se reducen en 1. No se cura tras los combates. Se puede mitigar con agua.,Les soins sont réduits de 1. Aucune régénération de PV après le combat. Peut être dissipé avec de l'eau.,Heilungen sind um 1 reduziert. Heilt sich nach dem Kampf nicht. Kann durch Wasser entfernt werden.,Le cure sono ridotte di 1. Non ci si cura dopo la battaglia. Può essere mitigato con l'acqua.,Curas são reduzidas em 1. Não se cura após a batalha. Pode ser mitigada com água.
,,,,,,,
DEBUG_TEST_GERMAN_WORDWRAPPING,WWWW&nbsp;WWW[img:str]WWWW WWWWWWWW,"you dont need to localize this, this was just for testing stuff",WWWW&nbsp;WWW[img:str]WWWW WWWWWWWW,WWWW&nbsp;WWW[img:str]WWWW WWWWWWWW,,WWW&nbsp;WWW[img:str]WWWW WWWWWWWWW,WWW&nbsp;WWW[img:str]WWWW WWWWWWWWW
,,,,,,,
ADVENTURE_BOX_LABEL,[b]Приключение[/b],"this is drawn art in english, and a text box in other languages",[b]Aventura[/b],[b]Aventure[/b],[b]Abenteuer[/b],[b]Avventura[/b],[b]Aventura[/b]
,,,,,,,
EVENT_GENIE_CHOICE_WEALTH,Богатство!,,¡Riquezas!,La richesse&nbsp;!,Reichtum!,Ricchezza!,Riqueza!
EVENT_GENIE_CHOICE_LOOKS,Внешность!,,¡Belleza!,La beauté&nbsp;!,Aussehen!,Aspetto!,Beleza!
EVENT_GENIE_CHOICE_POWER,Сила!,,¡Poder!,Le pouvoir&nbsp;!,Macht!,Potere!,Poder!
EVENT_GENIE_CHOICE_CURSEMIND,Проклятье разума,,Maldecir mente,Malédiction de l'esprit,Deinen Geist verfluchen,Maledizione della mente,Amaldiçoar mente
EVENT_GENIE_CHOICE_CURSEBODY,Проклятье тела,,Maldecir cuerpo,Malédiction du corps,Deinen Körper verfluchen,Maledizione del corpo,Amaldiçoar corpo
EVENT_GENIE_CHOICE_CURSESOUL,Проклятье души,,Maldecir alma,Malédiction de l'âme,Deine Seele verfluchen,Maledizione dell'anima,Amaldiçoar alma
,,,,,,,
POPUP_SWITCH_LANGUAGE_INGAME_WARNING,Некоторый текст обновится на новый язык только после перезагрузки игры.,,Es posible que algunos textos no se actualicen al nuevo idioma hasta que reinicies el juego.,Il se peut que certains textes ne changent qu'après avoir redémarré le jeu.,"Starte das Spiel neu, um alle Texte zu aktualisieren.",Alcuni testi potrebbero non aggiornarsi alla nuova lingua finché non riavvii il gioco.,Partes do texto podem não ser atualizadas para o novo idioma até que você reinicie o jogo.
,,,,,,,
TOOLTIP_HINT_UNCOMPLETABLE_QUEST_LABEL,Что-то потеряно...,,Falta algo...,Il manque quelque chose...,Etwas fehlt hier&nbsp;…,Manca qualcosa...,Algo está faltando...
TOOLTIP_HINT_UNCOMPLETABLE_QUEST_DESC,У вас нет средств для завершения этого квеста.,,Ahora mismo no tienes lo necesario para completar esta misión.,Vous ne pouvez pas effectuer cette quête pour le moment.,Du kannst diese Quest momentan nicht abschließen.,Al momento non hai i mezzi per completare questa missione.,Você não possui os meios para concluir esta missão neste momento.
,,,,,,,
EVENT_MYSTERIOUSTENT_PROMPT,Войти в лавку,,Entrar en la tienda,Accès boutique,Shop betreten,Entra nel negozio,Entrar na loja
EVENT_TRACY_REW3B,"[i]""Держи, поешь.""[/i]",,"«Toma, tengo comida».","[i]«&nbsp;Tiens, de quoi manger.&nbsp;»[/i]","[i]„Hier, ein bisschen Futter.“[/i]","[i]""Ecco, prendi del cibo.""[/i]","[i]""Aqui, tome um pouco de comida.""[/i]"
,,,,,,,
QEVENT_STACYMUTANT1_NAME,Эксперимент Стейси,,Experimento de Stacy,Expérience Stacy,Stacys Experiment,Esperimento di Stacy,Experimento de Stacy
